Id;FrequencyOfIssuanceOfStatements;HasCreditCard;NumberOfInhabitantsInDistrict;NumberOfCitiesInDistrict;AverageSalaryInDistrict;NumberOfPermanentOrders;DebitedAmount;NumberOfCreditTransactions;NumberOfWithdrawalTransactions;ActualAccountBalance;LoanAmount;LoanDuration;LoanMonthlyPayments;Creditworthiness
5314;weekly;False;94812;10;9650;1;8033,2;154;235;5903,1;96396;12;8033;False
5316;monthly;False;112709;10;8369;4;13152;188;423;93628,6;165960;36;4610;True
6863;monthly;False;77917;5;8390;4;10591,3;221;378;34453,6;127080;60;2118;True
5325;monthly;True;107870;6;8754;2;9932,7;152;297;31576,9;105804;36;2939;True
7240;weekly;True;1204953;1;12541;3;14834;144;395;85131,6;274740;60;4579;True
6687;monthly;False;53921;2;8598;5;8796,8;209;458;63161,2;87840;24;3660;True
7284;monthly;False;58796;5;9045;3;7512;168;316;27390,8;52788;12;4399;True
6111;monthly;False;122603;8;8991;1;7281,3;167;267;94419,9;174744;24;7281;False
7235;weekly;False;70699;4;8968;1;3216,7;187;265;57638,2;154416;48;3217;True
5997;monthly;True;177686;9;10045;1;4875,8;140;252;81623,1;117024;24;4876;True
7121;monthly;False;157042;9;8743;2;6871;159;328;50990,9;21924;36;609;True
6077;monthly;False;105606;7;8254;1;3317;149;277;95340,6;79608;24;3317;True
6228;weekly;False;77963;4;8546;1;7741,8;174;232;63892;464520;60;7742;False
6356;weekly;False;75685;9;8208;1;2650,2;194;258;42266;95400;36;2650;True
5523;after transaction;False;86513;5;8288;2;13331,2;180;239;63346,6;93888;36;2608;True
6456;after transaction;False;197099;10;9624;2;18499,2;191;264;75197,4;47016;12;3918;True
7104;monthly;False;228848;6;9893;2;16742,8;151;271;41848,9;259740;60;4329;True
6820;monthly;False;1204953;1;12541;4;17612;224;367;38668,4;38148;12;3179;True
6876;monthly;False;75637;7;9622;3;11733;243;318;108899,6;86616;12;7218;True
7097;monthly;False;387570;1;9897;1;3151,3;210;232;17123,9;75624;24;3151;False
4959;monthly;False;1204953;1;12541;2;10638,7;152;305;42628,1;80952;24;3373;True
6499;monthly;False;1204953;1;12541;2;10638,7;152;305;35762,4;80952;24;3373;True
5479;monthly;False;1204953;1;12541;1;2043;198;285;75669,7;24516;12;2043;True
5170;weekly;False;228848;6;9893;1;4219,5;153;211;27639,7;253200;60;4220;True
6721;monthly;False;149893;6;9753;3;5206;225;319;35812,2;21072;24;878;True
7259;monthly;False;1204953;1;12541;2;7740,5;189;288;109173;108144;36;3004;True
5285;monthly;False;1204953;1;12541;3;10124;197;302;63752,6;78936;12;6578;True
5189;monthly;False;75637;7;9622;2;7502,2;141;291;42642;149040;48;3105;True
6650;after transaction;False;122603;8;8991;3;16372;184;337;90064,4;49320;12;4110;False
7226;monthly;False;102609;6;8187;2;13010;129;299;58305,5;197748;36;5493;True
6087;monthly;False;128118;8;9317;4;12927,2;181;406;22567,7;300660;60;5011;True
7262;monthly;False;138032;5;8819;2;8337;132;284;53703,3;182628;36;5073;True
5519;monthly;False;94725;6;9920;2;11168;158;315;82253,9;91632;12;7636;True
6577;monthly;True;323870;1;10673;1;2153,8;198;278;60100,6;51696;24;2154;True
6509;monthly;False;197099;10;9624;1;2306,8;238;250;16407,8;55368;24;2307;True
6520;monthly;False;119895;4;10446;2;14078,8;143;261;47321,8;91200;24;3800;True
6699;monthly;False;78955;9;9060;2;4027;209;316;73823,2;7656;24;319;True
6336;weekly;False;85852;4;8965;1;5900;175;242;61619,8;212400;36;5900;True
7055;monthly;True;145688;5;8544;1;2784,8;172;241;22377,2;167100;60;2785;True
6103;weekly;False;105606;7;8254;2;11243,3;154;264;36204,8;149340;60;2489;True
6202;monthly;True;387570;1;9897;1;5432,3;154;272;106848,2;65184;12;5432;True
7066;monthly;False;1204953;1;12541;1;5983;190;176;12250;215388;36;5983;False
6696;monthly;False;148545;4;8909;2;8525;244;291;64777,8;89040;60;1484;True
6072;after transaction;False;226122;4;8994;1;5388,5;205;194;45696,4;193968;36;5388;True
5130;monthly;False;93931;8;8427;1;2025,7;155;219;35295,5;24312;12;2026;True
5568;monthly;False;92084;5;10124;2;10449;177;281;31046,4;272520;60;4542;True
6678;monthly;True;75637;7;9622;1;6695;133;252;70830,1;80340;12;6695;True
6998;monthly;False;70646;4;8547;3;20582;142;378;37755,9;97632;12;8136;True
6580;monthly;False;87419;9;8624;1;4085;177;232;43923,7;196080;48;4085;True
6316;monthly;False;107870;6;8754;1;6408,8;178;251;29843,3;76908;12;6409;False
6512;monthly;False;149893;6;9753;3;4096;154;295;17416,2;63312;48;1319;True
6407;monthly;True;118650;3;9832;1;1081;130;227;67783,5;25944;24;1081;True
5002;monthly;False;125832;5;8512;5;17342;156;416;64005,1;104808;12;8734;True
6647;weekly;False;1204953;1;12541;1;4340;144;244;23793,7;208320;48;4340;True
7137;monthly;True;125832;5;8512;2;16449;125;273;96741,4;151560;24;6315;True
6903;monthly;True;94812;10;9650;1;2172;272;236;30115,1;52128;24;2172;True
5918;monthly;False;67298;7;8561;1;8339;141;274;53576,3;300204;36;8339;True
6642;weekly;False;105606;7;8254;1;6469,7;133;244;47114,1;77640;12;6470;True
6210;monthly;False;58796;5;9045;1;1817,3;223;258;30124;87216;48;1817;False
6279;monthly;True;85852;4;8965;1;3639,5;155;219;65643;87360;24;3640;True
7249;monthly;False;75637;7;9622;1;1445;140;263;37001,8;69360;48;1445;True
6736;after transaction;False;1204953;1;12541;1;4806,5;169;160;27958;288360;60;4806;True
6112;monthly;True;125236;5;9675;4;18478,3;160;363;83369;174744;24;7281;False
5319;monthly;False;128118;8;9317;3;14941,8;142;304;59939,3;239460;60;3991;True
6596;monthly;False;1204953;1;12541;1;3816;125;218;68598,2;91584;24;3816;True
5837;monthly;False;124605;8;8772;2;16081,5;127;229;51977,1;244560;60;4076;True
5657;monthly;False;86513;5;8288;4;5148;137;396;30676,3;4980;12;415;True
5533;monthly;False;51428;4;8402;3;12266;218;393;49768,9;111384;24;4641;True
6232;monthly;False;124605;8;8772;1;7685;185;206;10932,7;276660;36;7685;False
6888;monthly;True;1204953;1;12541;3;16808,3;265;366;85731,1;39576;12;3298;True
6066;after transaction;False;148545;4;8909;1;7242;134;275;36308,4;173808;24;7242;True
5549;monthly;True;75637;7;9622;2;8130;135;278;98065,5;50460;60;841;True
5060;monthly;False;1204953;1;12541;3;12584,2;150;284;29030,2;252060;60;4201;False
6004;monthly;False;107870;6;8754;3;9483,2;177;359;66596,6;143904;24;5996;True
5126;monthly;True;387570;1;9897;1;4335,8;158;224;29046,4;208128;48;4336;False
7220;weekly;False;1204953;1;12541;2;10959;150;290;48019,4;131292;36;3647;True
6668;monthly;True;77917;5;8390;2;8260;133;280;58451,5;74736;36;2076;True
5395;monthly;False;106054;6;8110;3;14527,8;148;309;-1579,4;299088;36;8308;False
6836;monthly;True;162580;6;9538;3;7083;201;379;58902,6;189300;60;3155;True
6064;monthly;True;157042;9;8743;5;7778;141;496;69283;14628;12;1219;True
6919;weekly;False;1204953;1;12541;2;6583;149;272;26220,2;120888;36;3358;True
6841;monthly;False;92084;5;10124;1;3585,2;198;185;39091,4;172080;48;3585;True
6038;monthly;True;1204953;1;12541;2;9746,7;170;261;65187,7;323472;48;6739;True
6729;monthly;False;87419;9;8624;2;19935,3;211;285;82570;74688;12;6224;True
7198;weekly;False;106054;6;8110;1;3813,7;164;201;59769,3;45768;12;3814;True
6686;monthly;True;51313;4;8930;1;6239,2;154;236;68311;224604;36;6239;True
5836;monthly;False;125832;5;8512;3;15089;115;323;59418,9;79632;24;3318;True
7061;monthly;False;157042;9;8743;1;5079;204;254;72452,6;121896;24;5079;True
5595;monthly;True;110643;4;8441;4;16783,5;142;439;55904,2;82896;12;6908;True
5723;monthly;False;85852;4;8965;2;11471,7;216;320;88581,2;23628;12;1969;True
6120;monthly;False;139012;10;8363;1;4358;132;237;96224,5;209184;48;4358;True
6895;monthly;False;228848;6;9893;3;10880,5;261;349;111321;41904;12;3492;True
5882;monthly;False;105058;10;9272;2;12323;166;206;14225,5;87816;12;7318;True
5754;monthly;False;387570;1;9897;5;8861;158;507;30658;23052;12;1921;True
6594;monthly;False;110643;4;8441;3;11584,8;112;213;28779,7;189696;24;7904;False
6738;monthly;False;323870;1;10673;3;15843,8;194;251;18678,7;230220;36;6395;False
6624;monthly;False;157042;9;8743;2;13223;154;232;61531,7;71460;12;5955;True
6216;monthly;True;102609;6;8187;5;15565,3;134;469;72327,1;141240;24;5885;True
6229;monthly;False;1204953;1;12541;4;9460;138;442;22611,3;11736;24;489;True
5887;monthly;True;110643;4;8441;1;5353,5;176;227;77160,3;192744;36;5354;True
6808;monthly;False;197099;10;9624;1;6330,2;227;222;91643,1;227880;36;6330;True
6297;monthly;True;323870;1;10673;1;1459;134;220;70539,2;17508;12;1459;True
5161;monthly;False;114200;4;8403;1;4090,8;179;193;43348,7;98184;24;4091;True
5390;monthly;True;93931;8;8427;2;13016;133;279;72725,2;170256;24;7094;True
6150;monthly;True;285387;7;10177;3;13818,3;179;367;68044,6;83016;12;6918;True
6223;monthly;False;1204953;1;12541;3;7485;126;333;32064;61056;48;1272;True
5032;monthly;False;124605;8;8772;3;8504;160;298;37212,8;123696;48;2577;True
6253;monthly;True;323870;1;10673;2;10337;126;290;117837,6;59760;24;2490;True
6460;monthly;False;1204953;1;12541;5;4250;160;407;16888,6;48672;36;1352;True
6645;monthly;True;1204953;1;12541;1;3900,5;180;233;101804,2;140400;36;3900;True
5176;weekly;False;70646;4;8547;1;8022,8;147;210;920,5;192552;24;8023;False
5269;after transaction;False;51313;4;8930;1;4557,2;150;199;30887,1;164052;36;4557;False
5351;weekly;False;161954;8;8720;4;18957,3;135;419;68036,9;205200;36;5700;True
5861;monthly;True;45714;6;8843;1;2142;165;211;53331,9;51408;24;2142;True
5450;monthly;False;95616;6;9307;2;6940,2;127;262;31797,3;199680;60;3328;True
7142;monthly;False;1204953;1;12541;4;15830;233;365;13652,8;482940;60;8049;False
